Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2002,KY,176.2,Female,-85.28062543,37.10392496,177.30280373831795
2003,KY,195.6,Female,-85.28062543,37.10392496,202.16939252336456
2004,KY,194.4,Female,-85.28062543,37.10392496,207.6093457943926
2005,KY,208.2,Female,-85.28062543,37.10392496,217.2254672897198
2006,KY,202.7,Female,-85.28062543,37.10392496,206.83878504672893
2007,KY,191.2,Female,-85.28062543,37.10392496,199.58948598130837
2008,KY,199.8,Female,-85.28062543,37.10392496,204.0565420560746
2009,KY,184.1,Female,-85.28062543,37.10392496,191.23691588785024
2010,KY,181.8,Female,-85.28062543,37.10392496,196.7614485981306
2011,KY,182.3,Female,-85.28062543,37.10392496,207.91144859813096
2012,KY,162.8,Female,-85.28062543,37.10392496,217.49485981308422
2013,KY,149.6,Female,-85.28062543,37.10392496,210.2537383177569
2014,KY,171.6,Female,-85.28062543,37.10392496,225.18831775700923
2015,KY,189.7,Female,-85.28062543,37.10392496,239.59556074766354
2016,KY,226.7,Female,-85.28062543,37.10392496,243.64462616822414
2017,KY,263.0,Female,-85.28062543,37.10392496,240.08761682242994
2018,KY,256.7,Female,-85.28062543,37.10392496,232.74626168224285
2019,KY,270.7,Female,-85.28062543,37.10392496,245.3056074766352
2000,LA,19.0,Female,-92.41185408,30.29027112,229.23699186991865
2001,LA,21.2,Female,-92.41185408,30.29027112,223.7369918699187
2002,LA,19.9,Female,-92.41185408,30.29027112,224.5882113821137
2003,LA,21.8,Female,-92.41185408,30.29027112,236.73130081300815
2004,LA,21.0,Female,-92.41185408,30.29027112,232.34268292682916
2005,LA,21.6,Female,-92.41185408,30.29027112,241.44593495934967
2006,LA,20.5,Female,-92.41185408,30.29027112,227.64308943089435
2007,LA,21.5,Female,-92.41185408,30.29027112,238.47276422764227
2008,LA,21.0,Female,-92.41185408,30.29027112,238.66178861788595
2009,LA,19.9,Female,-92.41185408,30.29027112,228.49390243902448
2010,LA,18.5,Female,-92.41185408,30.29027112,223.4796747967479
2011,LA,16.9,Female,-92.41185408,30.29027112,222.45650406504052
2012,LA,18.4,Female,-92.41185408,30.29027112,239.91829268292685
2013,LA,19.5,Female,-92.41185408,30.29027112,257.3780487804879
2014,LA,21.9,Female,-92.41185408,30.29027112,260.26951219512176
2015,LA,19.4,Female,-92.41185408,30.29027112,267.84349593495926
2016,LA,20.3,Female,-92.41185408,30.29027112,267.7276422764228
2017,LA,21.9,Female,-92.41185408,30.29027112,271.9243902439022
2018,LA,22.7,Female,-92.41185408,30.29027112,278.78414634146344
2019,LA,23.7,Female,-92.41185408,30.29027112,286.7691056910569
2000,MA,7.4,Female,-70.28985529,41.72330649,144.62745098039215
2001,MA,6.3,Female,-70.28985529,41.72330649,143.81568627450983
2002,MA,6.2,Female,-70.28985529,41.72330649,148.2
2003,MA,6.4,Female,-70.28985529,41.72330649,153.95882352941175
2004,MA,5.6,Female,-70.28985529,41.72330649,147.9235294117647
2005,MA,7.3,Female,-70.28985529,41.72330649,143.23333333333335
2006,MA,9.3,Female,-70.28985529,41.72330649,150.4411764705882
2007,MA,9.7,Female,-70.28985529,41.72330649,151.89803921568625
2008,MA,11.0,Female,-70.28985529,41.72330649,144.51568627450987
2009,MA,12.2,Female,-70.28985529,41.72330649,144.07843137254903
2010,MA,12.4,Female,-70.28985529,41.72330649,143.2490196078431
2011,MA,11.7,Female,-70.28985529,41.72330649,139.9176470588235
2012,MA,12.3,Female,-70.28985529,41.72330649,138.36274509803923
2013,MA,12.2,Female,-70.28985529,41.72330649,135.93333333333334
2014,MA,11.7,Female,-70.28985529,41.72330649,135.45686274509805
2015,MA,12.8,Female,-70.28985529,41.72330649,143.98431372549018
2016,MA,12.7,Female,-70.28985529,41.72330649,140.1078431372549
2017,MA,13.5,Female,-70.28985529,41.72330649,143.77254901960785
2018,MA,14.2,Female,-70.28985529,41.72330649,151.09607843137252
2019,MA,16.0,Female,-70.28985529,41.72330649,152.41960784313724
2000,MD,23.9,Female,-78.69726186,39.62122196,292.8416666666666
2001,MD,23.4,Female,-78.69726186,39.62122196,293.0697916666667
2002,MD,22.4,Female,-78.69726186,39.62122196,296.8520833333332
2003,MD,21.6,Female,-78.69726186,39.62122196,286.5510416666667
2004,MD,21.1,Female,-78.69726186,39.62122196,286.5718750000001
2005,MD,21.3,Female,-78.69726186,39.62122196,282.54895833333336
2006,MD,20.6,Female,-78.69726186,39.62122196,270.07187500000003
2007,MD,19.9,Female,-78.69726186,39.62122196,279.1989583333334
2008,MD,19.4,Female,-78.69726186,39.62122196,266.53333333333325
2009,MD,22.2,Female,-78.69726186,39.62122196,262.42291666666665
2010,MD,22.0,Female,-78.69726186,39.62122196,247.30625
2011,MD,23.9,Female,-78.69726186,39.62122196,237.82812499999997
2012,MD,25.6,Female,-78.69726186,39.62122196,236.0979166666667
2013,MD,31.7,Female,-78.69726186,39.62122196,230.0937500000001
2014,MD,34.9,Female,-78.69726186,39.62122196,234.55729166666666
2015,MD,35.9,Female,-78.69726186,39.62122196,237.07916666666677
2016,MD,36.6,Female,-78.69726186,39.62122196,240.9197916666668
2017,MD,34.8,Female,-78.69726186,39.62122196,262.6791666666666
2018,MD,35.4,Female,-78.69726186,39.62122196,266.21770833333346
2019,MD,38.2,Female,-78.69726186,39.62122196,290.8520833333334
2000,ME,29.0,Male,-70.20688053,44.16584126,241.72448979591837
2001,ME,28.5,Male,-70.20688053,44.16584126,238.92448979591848
2002,ME,29.9,Male,-70.20688053,44.16584126,226.3959183673469
2003,ME,33.6,Male,-70.20688053,44.16584126,223.38367346938773
2004,ME,29.9,Male,-70.20688053,44.16584126,213.21224489795915
2005,ME,31.1,Male,-70.20688053,44.16584126,203.69183673469388
2006,ME,30.8,Male,-70.20688053,44.16584126,191.57755102040824
2007,ME,30.4,Male,-70.20688053,44.16584126,191.34489795918367
2008,ME,30.9,Male,-70.20688053,44.16584126,173.45918367346943
2009,ME,27.0,Male,-70.20688053,44.16584126,176.04897959183674
2010,ME,27.3,Male,-70.20688053,44.16584126,163.35510204081632
2011,ME,24.2,Male,-70.20688053,44.16584126,156.62040816326532
2012,ME,24.4,Male,-70.20688053,44.16584126,168.87959183673468
2013,ME,29.5,Male,-70.20688053,44.16584126,173.31836734693874
2014,ME,31.6,Male,-70.20688053,44.16584126,168.73265306122445
2015,ME,38.6,Male,-70.20688053,44.16584126,187.26122448979595
2016,ME,38.4,Male,-70.20688053,44.16584126,186.19387755102042
2017,ME,43.0,Male,-70.20688053,44.16584126,186.20408163265307
2018,ME,48.9,Male,-70.20688053,44.16584126,221.42653061224493
2019,ME,50.0,Male,-70.20688053,44.16584126,237.4571428571429
2000,MI,347.1,Female,-83.59384278,44.68475982,231.73092783505163
2001,MI,327.4,Female,-83.59384278,44.68475982,232.44914089347074
2002,MI,341.1,Female,-83.59384278,44.68475982,236.361855670103
2003,MI,392.6,Female,-83.59384278,44.68475982,235.575945017182
2004,MI,377.2,Female,-83.59384278,44.68475982,240.33883161512028
2005,MI,464.0,Female,-83.59384278,44.68475982,249.72611683848783
2006,MI,359.7,Female,-83.59384278,44.68475982,225.72405498281776
2007,MI,374.5,Female,-83.59384278,44.68475982,226.25051546391757
2008,MI,385.3,Female,-83.59384278,44.68475982,235.95189003436425
2009,MI,375.7,Female,-83.59384278,44.68475982,224.44845360824723
2010,MI,351.7,Female,-83.59384278,44.68475982,220.874914089347
2011,MI,390.1,Female,-83.59384278,44.68475982,228.6460481099656
2012,MI,355.2,Female,-83.59384278,44.68475982,216.5951890034364
2013,MI,360.4,Female,-83.59384278,44.68475982,225.82783505154643
2014,MI,294.5,Female,-83.59384278,44.68475982,214.36735395188998
2015,MI,389.2,Female,-83.59384278,44.68475982,210.64467353951895
2016,MI,437.3,Female,-83.59384278,44.68475982,216.37800687285215
2017,MI,457.4,Female,-83.59384278,44.68475982,225.60584192439867
2018,MI,402.7,Female,-83.59384278,44.68475982,233.3838487972509
2019,MI,327.3,Female,-83.59384278,44.68475982,242.78384879725073
2000,MN,9.3,Female,-93.41559867,46.60826134,188.2562068965517
2001,MN,7.4,Female,-93.41559867,46.60826134,205.02586206896555
2002,MN,6.9,Female,-93.41559867,46.60826134,204.05000000000013
2003,MN,8.3,Female,-93.41559867,46.60826134,210.35137931034475
2004,MN,9.3,Female,-93.41559867,46.60826134,210.4906896551724
2005,MN,9.4,Female,-93.41559867,46.60826134,215.94965517241369
2006,MN,9.0,Female,-93.41559867,46.60826134,202.75724137931047
2007,MN,9.5,Female,-93.41559867,46.60826134,197.63482758620688
2008,MN,9.9,Female,-93.41559867,46.60826134,204.17241379310346
2009,MN,9.7,Female,-93.41559867,46.60826134,191.8027586206897
2010,MN,8.9,Female,-93.41559867,46.60826134,190.29896551724133
2011,MN,9.1,Female,-93.41559867,46.60826134,207.40137931034494
2012,MN,9.7,Female,-93.41559867,46.60826134,208.5813793103449
2013,MN,9.6,Female,-93.41559867,46.60826134,214.478275862069
2014,MN,11.0,Female,-93.41559867,46.60826134,222.0955172413795
2015,MN,11.6,Female,-93.41559867,46.60826134,233.50206896551717
2016,MN,11.1,Female,-93.41559867,46.60826134,231.5462068965518
2017,MN,11.5,Female,-93.41559867,46.60826134,252.13517241379304
2018,MN,12.0,Female,-93.41559867,46.60826134,254.67862068965513
2019,MN,13.7,Female,-93.41559867,46.60826134,275.9793103448276
2000,MO,16.7,Female,-92.60072352,40.19074048,176.2282555282555
2001,MO,16.4,Female,-92.60072352,40.19074048,183.4545454545454
2002,MO,17.4,Female,-92.60072352,40.19074048,195.59410319410327
2003,MO,18.7,Female,-92.60072352,40.19074048,193.46904176904178
2004,MO,19.6,Female,-92.60072352,40.19074048,189.45135135135132
2005,MO,19.1,Female,-92.60072352,40.19074048,192.23488943488942
2006,MO,20.0,Female,-92.60072352,40.19074048,188.68796068796084
2007,MO,21.4,Female,-92.60072352,40.19074048,188.8105651105649
2008,MO,20.3,Female,-92.60072352,40.19074048,200.10761670761661
2009,MO,21.3,Female,-92.60072352,40.19074048,184.22260442260452
2010,MO,19.3,Female,-92.60072352,40.19074048,177.4248157248159
2011,MO,17.3,Female,-92.60072352,40.19074048,177.91081081081091
2012,MO,18.2,Female,-92.60072352,40.19074048,178.5154791154791
2013,MO,21.4,Female,-92.60072352,40.19074048,173.45380835380834
2014,MO,22.4,Female,-92.60072352,40.19074048,175.21965601965604
2015,MO,21.7,Female,-92.60072352,40.19074048,180.23316953316967
2016,MO,24.7,Female,-92.60072352,40.19074048,185.8530712530714
2017,MO,24.9,Female,-92.60072352,40.19074048,201.79041769041766
2018,MO,25.8,Female,-92.60072352,40.19074048,198.98968058968063
2019,MO,22.8,Female,-92.60072352,40.19074048,191.52334152334143
2000,MS,77.0,Female,-91.35343395,31.48167652,329.0601265822787
2001,MS,64.7,Female,-91.35343395,31.48167652,338.9607594936708
2002,MS,63.2,Female,-91.35343395,31.48167652,362.7756329113925
2003,MS,62.2,Female,-91.35343395,31.48167652,372.0702531645569
2004,MS,58.1,Female,-91.35343395,31.48167652,389.32468354430375
2005,MS,59.1,Female,-91.35343395,31.48167652,422.03417721518986
2006,MS,52.7,Female,-91.35343395,31.48167652,414.78765822784806
2007,MS,55.0,Female,-91.35343395,31.48167652,422.0322784810125
2008,MS,52.6,Female,-91.35343395,31.48167652,428.61677215189854
2009,MS,46.6,Female,-91.35343395,31.48167652,392.5199367088609
2010,MS,42.7,Female,-91.35343395,31.48167652,378.0164556962023
2011,MS,39.1,Female,-91.35343395,31.48167652,368.99335443037984
2012,MS,37.9,Female,-91.35343395,31.48167652,365.76993670886077
2013,MS,43.7,Female,-91.35343395,31.48167652,365.7835443037977
2014,MS,44.7,Female,-91.35343395,31.48167652,349.74778481012663
2015,MS,42.9,Female,-91.35343395,31.48167652,362.79082278481013
2016,MS,48.5,Female,-91.35343395,31.48167652,368.04651898734176
2017,MS,46.5,Female,-91.35343395,31.48167652,382.62879746835443
2018,MS,49.9,Female,-91.35343395,31.48167652,385.3952531645571
2019,MS,50.0,Female,-91.35343395,31.48167652,410.1037974683545
2000,MT,6.8,Female,-112.89927998,45.13280632,129.44745762711864
2001,MT,7.5,Female,-112.89927998,45.13280632,137.77118644067792
2002,MT,7.7,Female,-112.89927998,45.13280632,141.86271186440683
2003,MT,9.6,Female,-112.89927998,45.13280632,154.36186440677966
2004,MT,9.2,Female,-112.89927998,45.13280632,142.29322033898305
2005,MT,8.3,Female,-112.89927998,45.13280632,149.22881355932202
2006,MT,9.3,Female,-112.89927998,45.13280632,151.20593220338984
2007,MT,9.2,Female,-112.89927998,45.13280632,152.46864406779662
2008,MT,8.4,Female,-112.89927998,45.13280632,154.42966101694915
2009,MT,8.1,Female,-112.89927998,45.13280632,141.9932203389831
2010,MT,7.8,Female,-112.89927998,45.13280632,145.8118644067796
2011,MT,7.3,Female,-112.89927998,45.13280632,141.88983050847455
2012,MT,8.2,Female,-112.89927998,45.13280632,141.9711864406779
2013,MT,8.3,Female,-112.89927998,45.13280632,148.34491525423724
2014,MT,8.6,Female,-112.89927998,45.13280632,132.53135593220335
2015,MT,9.6,Female,-112.89927998,45.13280632,147.09661016949153
2016,MT,9.9,Female,-112.89927998,45.13280632,147.01186440677964
2017,MT,11.9,Female,-112.89927998,45.13280632,165.2101694915254
2018,MT,13.2,Female,-112.89927998,45.13280632,170.44491525423732
2019,MT,13.0,Female,-112.89927998,45.13280632,172.62118644067792
2000,NC,22.4,Female,-79.39932717,36.04357025,282.91825192802065
2001,NC,21.5,Female,-79.39932717,36.04357025,271.5426735218508
2002,NC,20.9,Female,-79.39932717,36.04357025,275.81876606683807
2003,NC,22.8,Female,-79.39932717,36.04357025,288.2596401028278
2004,NC,22.2,Female,-79.39932717,36.04357025,282.4696658097684
2005,NC,20.7,Female,-79.39932717,36.04357025,277.77969151670953
2006,NC,21.0,Female,-79.39932717,36.04357025,259.3233933161954
2007,NC,23.2,Female,-79.39932717,36.04357025,256.4203084832906
2008,NC,24.3,Female,-79.39932717,36.04357025,261.8375321336762
2009,NC,24.1,Female,-79.39932717,36.04357025,258.39305912596376
2010,NC,23.4,Female,-79.39932717,36.04357025,250.38251928020574
2011,NC,24.1,Female,-79.39932717,36.04357025,237.87532133676078
2012,NC,24.7,Female,-79.39932717,36.04357025,243.80179948586118
2013,NC,24.0,Female,-79.39932717,36.04357025,243.0742930591258
2014,NC,21.3,Female,-79.39932717,36.04357025,230.66658097686388
2015,NC,20.9,Female,-79.39932717,36.04357025,229.52262210796908
2016,NC,18.8,Female,-79.39932717,36.04357025,224.35141388174824
2017,NC,19.9,Female,-79.39932717,36.04357025,220.4966580976864
2018,NC,20.1,Female,-79.39932717,36.04357025,215.79434447300773
2019,NC,20.6,Female,-79.39932717,36.04357025,218.64524421593828
2000,ND,14.3,Female,-98.07170952,46.93593125,201.90631578947364
2001,ND,17.0,Female,-98.07170952,46.93593125,227.80526315789473
2002,ND,16.3,Female,-98.07170952,46.93593125,224.09999999999985
2003,ND,19.7,Female,-98.07170952,46.93593125,240.02631578947376
2004,ND,19.9,Female,-98.07170952,46.93593125,235.53578947368422
2005,ND,17.1,Female,-98.07170952,46.93593125,232.98
2006,ND,15.1,Female,-98.07170952,46.93593125,237.44631578947366
2007,ND,14.2,Female,-98.07170952,46.93593125,226.39052631578946
2008,ND,14.1,Female,-98.07170952,46.93593125,224.75894736842116
2009,ND,16.6,Female,-98.07170952,46.93593125,222.2526315789473
2010,ND,14.9,Female,-98.07170952,46.93593125,213.41368421052624
2011,ND,13.2,Female,-98.07170952,46.93593125,213.86631578947367
2012,ND,14.6,Female,-98.07170952,46.93593125,232.64315789473676
2013,ND,13.2,Female,-98.07170952,46.93593125,222.9399999999999
2014,ND,14.0,Female,-98.07170952,46.93593125,193.26842105263165
2015,ND,14.9,Female,-98.07170952,46.93593125,194.0557894736842
2016,ND,13.9,Female,-98.07170952,46.93593125,167.73368421052635
2017,ND,14.2,Female,-98.07170952,46.93593125,172.27157894736843
2018,ND,14.5,Female,-98.07170952,46.93593125,182.95473684210526
2019,ND,15.8,Female,-98.07170952,46.93593125,198.45473684210532
2000,NE,8.3,Female,-98.50117804,40.5244942,148.35942028985497
2001,NE,9.5,Female,-98.50117804,40.5244942,154.7869565217392
2002,NE,9.5,Female,-98.50117804,40.5244942,161.895652173913
2003,NE,10.0,Female,-98.50117804,40.5244942,173.17584541062806
2004,NE,8.4,Female,-98.50117804,40.5244942,171.94202898550722
2005,NE,7.5,Female,-98.50117804,40.5244942,181.86666666666656
2006,NE,7.2,Female,-98.50117804,40.5244942,184.22028985507234
2007,NE,7.1,Female,-98.50117804,40.5244942,186.9169082125604
2008,NE,7.7,Female,-98.50117804,40.5244942,200.40676328502408
2009,NE,7.0,Female,-98.50117804,40.5244942,187.72222222222211
2010,NE,6.4,Female,-98.50117804,40.5244942,188.29758454106283
2011,NE,6.6,Female,-98.50117804,40.5244942,191.32028985507264
2012,NE,7.2,Female,-98.50117804,40.5244942,195.10193236714974
2013,NE,6.7,Female,-98.50117804,40.5244942,190.72173913043494
2014,NE,6.3,Female,-98.50117804,40.5244942,192.37729468599036
2015,NE,7.6,Female,-98.50117804,40.5244942,211.5637681159421
2016,NE,7.5,Female,-98.50117804,40.5244942,208.5386473429952
2017,NE,9.4,Female,-98.50117804,40.5244942,235.07826086956524
2018,NE,10.5,Female,-98.50117804,40.5244942,234.1975845410627
2019,NE,11.6,Female,-98.50117804,40.5244942,236.551690821256
2000,NH,11.3,Female,-71.42257768,43.51765749,218.81
2001,NH,10.7,Female,-71.42257768,43.51765749,205.44250000000002
2002,NH,11.2,Female,-71.42257768,43.51765749,208.20000000000005
2003,NH,10.8,Female,-71.42257768,43.51765749,217.90750000000008
2004,NH,12.3,Female,-71.42257768,43.51765749,216.34999999999997
2005,NH,13.6,Female,-71.42257768,43.51765749,196.14
2006,NH,14.8,Female,-71.42257768,43.51765749,195.31249999999994
2007,NH,16.5,Female,-71.42257768,43.51765749,206.38749999999996
2008,NH,16.5,Female,-71.42257768,43.51765749,189.445
2009,NH,13.9,Female,-71.42257768,43.51765749,177.29749999999999
2010,NH,13.7,Female,-71.42257768,43.51765749,176.43249999999995
2011,NH,12.9,Female,-71.42257768,43.51765749,179.65750000000003
2012,NH,12.5,Female,-71.42257768,43.51765749,186.03750000000002
2013,NH,12.5,Female,-71.42257768,43.51765749,180.9025
2014,NH,11.8,Female,-71.42257768,43.51765749,180.33
2015,NH,13.3,Female,-71.42257768,43.51765749,178.18749999999997
2016,NH,16.0,Female,-71.42257768,43.51765749,186.51499999999996
2017,NH,17.0,Female,-71.42257768,43.51765749,185.19500000000005
2018,NH,16.1,Female,-71.42257768,43.51765749,187.4075
2019,NH,15.8,Female,-71.42257768,43.51765749,187.395
2000,NJ,17.0,Female,-74.66030575,39.47788236,191.8071428571428
2001,NJ,17.8,Female,-74.66030575,39.47788236,190.73690476190475
2002,NJ,15.9,Female,-74.66030575,39.47788236,189.33571428571432
2003,NJ,18.2,Female,-74.66030575,39.47788236,190.80238095238096
2004,NJ,17.9,Female,-74.66030575,39.47788236,204.94523809523812
2005,NJ,18.2,Female,-74.66030575,39.47788236,208.61071428571432
2006,NJ,19.1,Female,-74.66030575,39.47788236,195.35476190476186
2007,NJ,19.0,Female,-74.66030575,39.47788236,194.2630952380952
2008,NJ,19.8,Female,-74.66030575,39.47788236,191.5214285714286
2009,NJ,17.8,Female,-74.66030575,39.47788236,187.69047619047623
2010,NJ,20.3,Female,-74.66030575,39.47788236,216.06547619047623
2011,NJ,21.0,Female,-74.66030575,39.47788236,219.9392857142856
2012,NJ,24.3,Female,-74.66030575,39.47788236,230.0071428571428
2013,NJ,23.8,Female,-74.66030575,39.47788236,225.54523809523803
2014,NJ,23.6,Female,-74.66030575,39.47788236,212.51428571428568
2015,NJ,24.1,Female,-74.66030575,39.47788236,206.9761904761905
2016,NJ,25.2,Female,-74.66030575,39.47788236,206.04523809523818
2017,NJ,26.0,Female,-74.66030575,39.47788236,202.83095238095243
2018,NJ,27.6,Female,-74.66030575,39.47788236,202.49642857142848
2019,NJ,28.2,Female,-74.66030575,39.47788236,200.52500000000003
2000,NM,12.5,Female,-106.67049809,35.0513833,139.34375000000003
2001,NM,15.1,Female,-106.67049809,35.0513833,149.59374999999994
2002,NM,14.0,Female,-106.67049809,35.0513833,160.8428571428571
2003,NM,14.5,Female,-106.67049809,35.0513833,167.71517857142854
2004,NM,16.7,Female,-106.67049809,35.0513833,168.55089285714286
2005,NM,20.3,Female,-106.67049809,35.0513833,179.2821428571428
2006,NM,19.1,Female,-106.67049809,35.0513833,168.24999999999997
2007,NM,19.8,Female,-106.67049809,35.0513833,167.74732142857144
2008,NM,20.9,Female,-106.67049809,35.0513833,176.56250000000003
2009,NM,20.1,Female,-106.67049809,35.0513833,168.24285714285716
2010,NM,20.2,Female,-106.67049809,35.0513833,176.65357142857147
2011,NM,22.5,Female,-106.67049809,35.0513833,172.40982142857146
2012,NM,22.6,Female,-106.67049809,35.0513833,176.3821428571429
2013,NM,23.8,Female,-106.67049809,35.0513833,188.08124999999998
2014,NM,26.2,Female,-106.67049809,35.0513833,196.65089285714285
2015,NM,24.0,Female,-106.67049809,35.0513833,196.63035714285706
2016,NM,24.5,Female,-106.67049809,35.0513833,196.90535714285713
2017,NM,25.1,Female,-106.67049809,35.0513833,213.2392857142857
2018,NM,24.4,Female,-106.67049809,35.0513833,208.91875000000002
2019,NM,27.5,Female,-106.67049809,35.0513833,227.4491071428572
2000,NV,15.7,Female,-118.33625814,39.5804834,170.38125
2001,NV,18.1,Female,-118.33625814,39.5804834,181.78750000000002
2002,NV,19.8,Female,-118.33625814,39.5804834,193.56666666666663
2003,NV,19.2,Female,-118.33625814,39.5804834,201.66041666666663
2004,NV,19.4,Female,-118.33625814,39.5804834,191.48749999999998
2005,NV,21.7,Female,-118.33625814,39.5804834,194.7083333333333
2006,NV,20.0,Female,-118.33625814,39.5804834,189.90208333333337
2007,NV,21.4,Female,-118.33625814,39.5804834,172.5
2008,NV,21.2,Female,-118.33625814,39.5804834,169.66875000000002
2009,NV,26.0,Female,-118.33625814,39.5804834,182.65
2010,NV,25.4,Female,-118.33625814,39.5804834,188.45208333333326
2011,NV,26.7,Female,-118.33625814,39.5804834,208.49791666666673
2012,NV,26.6,Female,-118.33625814,39.5804834,201.89166666666674
2013,NV,25.9,Female,-118.33625814,39.5804834,204.7229166666667
2014,NV,25.0,Female,-118.33625814,39.5804834,209.40625
2015,NV,35.6,Female,-118.33625814,39.5804834,246.1333333333333
2016,NV,38.5,Female,-118.33625814,39.5804834,267.71041666666673
2017,NV,39.9,Female,-118.33625814,39.5804834,282.5875
2018,NV,37.7,Female,-118.33625814,39.5804834,306.15000000000003
2019,NV,42.4,Female,-118.33625814,39.5804834,335.72499999999985
